M.E.T. [s], Sea Level Altitude [m], Radar Altitude [m], Latitude [deg], Longitude [deg], Surface Velocity [m/s], Orbital Velocity [m/s], Vertical Speed [m/s], Ground Speed [m/s], Apoapsis [m], Time to Apoapsis [s], Periapsis [m], Time to Periapsis [s], Inclination [deg], Mass [t], Max Thrust [kN], Current Thrust [kN], T.W.R., % Terminal Velocity, Trajectory Preferred Pitch [deg], Pitch Command [deg], Vessel Pitch [deg], Heading Command [deg], Vessel Heading [deg], dv Spent [m/s], Dynamic Pressure [kPa]
23.3999994769692, 2034.86674217146, 1973.92565917969, -0.0972107350826263, -74.4980392456055, 190.612233590299, 311.524508530699, 170.520698574751, 85.1804845716539, 3530.62126125058, 17.76357339699, -596492.060441118, 297.303305410912, 0.0973321310513955, 46.306755065918, 974.191879272461, 974.125152587891, 2.15718249489982, NoAcc, 65.9140332595144, 65.9140332595144, 65.8490576518471, 90.1963662313445, 88.9560055783387, 429.846205332346, 0.156094191516422
24.5399994514883, 2234.17328354053, 2173.37622070313, -0.0972200483083725, -74.4883041381836, 202.272440026591, 323.51664321052, 179.242682865717, 93.7347354688263, 3891.70907937689, 18.7059272735312, -596252.522564072, 298.660641830048, 0.0975526208622049, 45.7965202331543, 978.047698974609, 977.979232788086, 2.1912724694801, NoAcc, 64.92590156279, 64.92590156279, 64.6922909944465, 90.1963957537503, 90.1407050702016, 454.02884721116, 0.171552672359338
25.6799994260073, 2443.50775490922, 2385.54467773438, -0.0972267165780067, -74.4776382446289, 214.15329928126, 335.715411837687, 188.057848400513, 102.449408236546, 4273.30974931887, 19.6632997526125, -595999.901073379, 300.056431901598, 0.102105604364732, 45.2862854003906, 981.96452331543, 981.89444732666, 2.22635473885995, NoAcc, 63.9465422467303, 63.9465422467303, 64.0950464441285, 89.8030564095136, 91.0033444850839, 477.71705688478, 0.187443664921606
26.7999994009733, 2658.93321115314, 2602.56665039063, -0.0972212478518486, -74.4662170410156, 226.080786705637, 348.24603286371, 196.909598963888, 111.517733687274, 4674.70143297105, 20.6305042024601, -595727.871353588, 301.48940138193, 0.097232915632911, 44.776050567627, 985.983055114746, 985.911712646484, 2.26255844530156, NoAcc, 62.9754022987584, 62.9754022987584, 63.119190701256, 90.1988519372892, 88.9209455956139, 502.641437352634, 0.203728076880956
27.9399993754923, 2888.17311413609, 2834.5869140625, -0.0972296670079231, -74.4535980224609, 238.481669664474, 360.929210548043, 205.57353731195, 120.884355989547, 5087.10332398349, 21.5837882193368, -595437.115458949, 302.929292217179, 0.0981580136968178, 44.2658157348633, 990.068626403809, 989.996299743652, 2.29984304075483, NoAcc, 62.0121558197962, 62.0121558197962, 61.8347719207039, 90.1967602920412, 90.0542324603833, 527.955765103139, 0.220321809697625
29.0799993500113, 3127.53942513617, 3078.38696289063, -0.0972385331988335, -74.43994140625, 251.126912272476, 374.105405465509, 214.434383628308, 130.700501856172, 5526.95691172266, 22.565239027162, -595121.57678922, 304.433810455075, 0.10119656512578, 43.764533996582, 994.208137512207, 994.134971618652, 2.33821760613406, NoAcc, 61.0561489814674, 61.0561489814674, 61.2036981767867, 89.8038490356712, 91.0163142330131, 553.67051379618, 0.237139187652169
30.1199993267655, 3354.72453853209, 3317.3642578125, -0.0972361266613007, -74.4265518188477, 262.900443460178, 386.382753277983, 222.572776663635, 139.921414586182, 5946.57958913746, 23.4727431864525, -594815.029360801, 305.8444525309, 0.099507502782182, 43.2990570068359, 997.94612121582, 997.872398376465, 2.37295678457291, NoAcc, 60.2066512200877, 60.2066512200877, 60.4543315408511, 89.7978813322234, 89.8253234632473, 577.026848409166, 0.252295254474413
31.2599993012846, 3613.41570765083, 3592.11108398438, -0.0972385853528976, -74.4107971191406, 276.073611586436, 400.198078967214, 231.452073991263, 150.487795051696, 6424.54938579898, 24.4709034059931, -594451.723331845, 307.425877254622, 0.0982607562601729, 42.7888221740723, 1002.23754119873, 1002.16333007813, 2.41415185321001, NoAcc, 59.2635834682861, 59.2635834682861, 59.1810562069248, 90.1947988519137, 89.2699204946441, 603.998999651253, 0.269307353803916
32.3999992758036, 3882.25730000134, 3882.25732421875, -0.0972504392266274, -74.3938903808594, 289.5360655422, 414.375984265405, 240.299637249153, 161.515378795898, 6921.64515574893, 25.4743700776916, -594058.77123245, 309.046859137162, 0.0985919328338192, 42.2785873413086, 1006.43868255615, 1006.36436462402, 2.45568444795519, NoAcc, 58.3269302388217, 58.3269302388217, 58.3187988003617, 89.805491403596, 90.811757921597, 629.993421363007, 0.286328589085163
33.5199992507696, 4156.16797519219, 4156.16796875, -0.0972485020756722, -74.3761138916016, 302.81552645483, 428.637616262284, 248.987129426797, 172.755463736053, 7434.37933760847, 26.4690878145016, -593643.476288133, 310.685921162008, 0.0984253032341978, 41.7683525085449, 1010.6633682251, 1010.5891418457, 2.49839228148955, NoAcc, 57.3965928155943, 57.3965928155943, 57.5936677345401, 89.8009397098834, 89.8052222980582, 657.369954408609, 0.302818666363601
